candidate_id,filename,feature_file,room_id,room_x,room_y,room_z,absorption,RT60,source_id,source_x,source_y,source_z,listener_id,listener_x,listener_y,listener_z,DRR,C80,ILD,ITD_ms,DRR_class
2246,0000.wav,0000.npy,3,10.0,7.0,3.0,0.1,1.397107438016529,4,2.0,2.5,1.5,6,4.5,1.3,1.5,-9.708494802228383,4.291092411543548,0.8245958501653035,0.1875,0
971,0001.wav,0001.npy,1,8.0,5.0,3.0,0.35,0.34936708860759497,0,1.0,1.2,1.5,11,3.5,2.5,1.5,-6.70391718386631,13.45729866614115,-0.05243514230514683,-0.125,0
786,0002.wav,0002.npy,1,8.0,5.0,3.0,0.1,1.2227848101265821,3,2.0,1.5,1.5,6,4.5,1.3,1.5,-12.561783292111379,8.129054928932579,0.14009230093673342,0.0625,0
2326,0003.wav,0003.npy,3,10.0,7.0,3.0,0.2,0.6985537190082645,2,1.0,3.0,1.5,6,4.5,1.3,1.5,-9.486825125526206,6.638871716527575,-0.432770193654623,0.1875,0
2380,0004.wav,0004.npy,3,10.0,7.0,3.0,0.2,0.6985537190082645,5,3.0,2.0,1.5,0,1.5,1.3,1.5,-7.176133269035106,8.010736850905056,0.11516280035218146,-5.0,0
333,0005.wav,0005.npy,0,6.0,4.0,3.0,0.35,0.3066666666666667,4,2.0,2.5,1.5,13,4.5,2.5,1.5,-7.469304627539799,18.337574198054064,0.6326615196575779,0.0,0
259,0006.wav,0006.npy,0,6.0,4.0,3.0,0.35,0.3066666666666667,0,1.0,1.2,1.5,19,4.0,3.2,1.5,-11.361070200404942,15.925600789062802,-0.4683545406530666,-0.25,0
765,0007.wav,0007.npy,1,8.0,5.0,3.0,0.1,1.2227848101265821,2,1.0,3.0,1.5,5,4.0,1.3,1.5,-11.790588856383009,7.083471826813965,0.20528725900949668,7.6875,0
98,0008.wav,0008.npy,0,6.0,4.0,3.0,0.1,1.0733333333333333,4,2.0,2.5,1.5,18,3.5,3.2,1.5,-12.424154288409792,10.543238996845943,-0.16930713271450815,5.0,0
2310,0009.wav,0009.npy,3,10.0,7.0,3.0,0.2,0.6985537190082645,1,1.0,2.0,1.5,10,3.0,2.5,1.5,-8.557604604492116,8.180795706867936,0.12241858618773112,-0.125,0
1481,0010.wav,0010.npy,2,9.0,6.0,3.0,0.1,1.3172727272727274,2,1.0,3.0,1.5,1,2.0,1.3,1.5,-11.603624580694596,6.237205830853579,0.09962998521899828,0.5,0
75,0011.wav,0011.npy,0,6.0,4.0,3.0,0.1,1.0733333333333333,3,2.0,1.5,1.5,15,2.0,3.2,1.5,-12.425371337924984,9.522053750387856,0.3184078565638202,-5.5,0
264,0012.wav,0012.npy,0,6.0,4.0,3.0,0.35,0.3066666666666667,1,1.0,2.0,1.5,4,3.5,1.3,1.5,-8.705770346641511,16.989913391779062,-0.23474914955034987,4.125,0
2485,0013.wav,0013.npy,3,10.0,7.0,3.0,0.35,0.39917355371900837,4,2.0,2.5,1.5,5,4.0,1.3,1.5,-6.053469085970694,11.725099685061782,0.34751291584042804,-4.0625,0
1488,0014.wav,0014.npy,2,9.0,6.0,3.0,0.1,1.3172727272727274,2,1.0,3.0,1.5,8,2.0,2.5,1.5,-7.016854280240211,6.996248498145304,0.2698886490413339,0.25,0
1445,0015.wav,0015.npy,2,9.0,6.0,3.0,0.1,1.3172727272727274,0,1.0,1.2,1.5,5,4.0,1.3,1.5,-10.459078761218223,6.0895594315942265,1.3530049069192454,0.0,0
33,0016.wav,0016.npy,0,6.0,4.0,3.0,0.1,1.0733333333333333,1,1.0,2.0,1.5,13,4.5,2.5,1.5,-12.97740704875412,9.471070775090439,0.26022794370021807,-0.0625,0
933,0017.wav,0017.npy,1,8.0,5.0,3.0,0.2,0.6113924050632911,4,2.0,2.5,1.5,13,4.5,2.5,1.5,-9.733586212521171,10.000218997978918,5.866846799268045e-09,0.0,0
2186,0018.wav,0018.npy,3,10.0,7.0,3.0,0.1,1.397107438016529,1,1.0,2.0,1.5,6,4.5,1.3,1.5,-13.812690891200097,4.112832393067826,0.35019482214636555,0.0625,0
2353,0019.wav,0019.npy,3,10.0,7.0,3.0,0.2,0.6985537190082645,3,2.0,1.5,1.5,13,4.5,2.5,1.5,-8.709560498620794,7.44305864387446,0.04874962664568007,-0.125,0
2358,0020.wav,0020.npy,3,10.0,7.0,3.0,0.2,0.6985537190082645,3,2.0,1.5,1.5,18,3.5,3.2,1.5,-8.386718052137391,7.172253726282294,0.06739890156424166,-0.375,0
139,0021.wav,0021.npy,0,6.0,4.0,3.0,0.2,0.5366666666666666,0,1.0,1.2,1.5,19,4.0,3.2,1.5,-12.321272448313428,11.988429422106355,-0.807464935257878,-4.5,0
1721,0022.wav,0022.npy,2,9.0,6.0,3.0,0.35,0.3763636363636364,2,1.0,3.0,1.5,1,2.0,1.3,1.5,-6.075608151596519,13.392957210009438,-0.11548664340880636,0.5,0
775,0023.wav,0023.npy,1,8.0,5.0,3.0,0.1,1.2227848101265821,2,1.0,3.0,1.5,15,2.0,3.2,1.5,-8.39349185531536,8.957806299072685,0.1018912686424461,-0.125,0
1694,0024.wav,0024.npy,2,9.0,6.0,3.0,0.35,0.3763636363636364,0,1.0,1.2,1.5,14,1.5,3.2,1.5,-6.400910566846329,13.712467804850736,0.33793606862894676,-5.0,0
25,0025.wav,0025.npy,0,6.0,4.0,3.0,0.1,1.0733333333333333,1,1.0,2.0,1.5,5,4.0,1.3,1.5,-12.016396781124207,10.291612899999931,-0.36165742863616746,18.5,0
282,0026.wav,0026.npy,0,6.0,4.0,3.0,0.35,0.3066666666666667,2,1.0,3.0,1.5,2,2.5,1.3,1.5,-8.252735978786175,17.079084902227887,0.012854822667371054,0.375,0
983,0027.wav,0027.npy,1,8.0,5.0,3.0,0.35,0.34936708860759497,1,1.0,2.0,1.5,3,3.0,1.3,1.5,-6.1027653335826955,13.609185953697505,0.0771727941671366,4.625,0
