id,left_file,right_file,feature_file,DRR_class,DRR,C80,RT60,ILD,ITD_ms,room_id,room_x,room_y,room_z,absorption,source_id,source_x,source_y,source_z,listener_id,listener_x,listener_y,listener_z,split
0635,0635_L.wav,0635_R.wav,0635.npy,2,11.95081401225095,20.844921760520123,0.6586363636363637,-7.784400993472117,0.5625,2,9.0,6.0,3.0,0.2,3,2.0,1.5,1.5,1,2.0,1.3,1.5,train
0126,0126_L.wav,0126_R.wav,0126.npy,0,-7.716948529108486,13.547613742879104,0.3763636363636364,0.0463640813784778,0.0625,2,9.0,6.0,3.0,0.35,2,1.0,3.0,1.5,11,3.5,2.5,1.5,train
0639,0639_L.wav,0639_R.wav,0639.npy,2,4.894379279309842,38.11361339846018,0.17463842975206612,0.8049247177483343,-0.5,3,10.0,7.0,3.0,0.8,3,2.0,1.5,1.5,15,2.0,3.2,1.5,train
0220,0220_L.wav,0220_R.wav,0220.npy,0,-11.962929486856094,9.493147471144077,1.0733333333333333,0.7295241389342095,-0.3125,0,6.0,4.0,3.0,0.1,5,3.0,2.0,1.5,14,1.5,3.2,1.5,train
0181,0181_L.wav,0181_R.wav,0181.npy,0,-11.728049227262227,7.417156166472135,1.3172727272727274,-0.19560067009739582,-0.0625,2,9.0,6.0,3.0,0.1,2,1.0,3.0,1.5,18,3.5,3.2,1.5,train
0684,0684_L.wav,0684_R.wav,0684.npy,2,7.1878393837203705,38.517157313383706,0.17463842975206612,1.0012392891769502,-0.5,3,10.0,7.0,3.0,0.8,5,3.0,2.0,1.5,18,3.5,3.2,1.5,train
0680,0680_L.wav,0680_R.wav,0680.npy,2,4.316997355941672,23.043428994303632,0.26345454545454544,-1.1244787908472471,0.4375,2,9.0,6.0,3.0,0.5,5,3.0,2.0,1.5,4,3.5,1.3,1.5,train
0246,0246_L.wav,0246_R.wav,0246.npy,0,-10.452419173985819,4.710299240236941,1.397107438016529,0.36656532039775325,-0.25,3,10.0,7.0,3.0,0.1,3,2.0,1.5,1.5,19,4.0,3.2,1.5,train
0016,0016_L.wav,0016_R.wav,0016.npy,0,-12.97740704875412,9.471070775090439,1.0733333333333333,0.26022794370021807,-0.0625,0,6.0,4.0,3.0,0.1,1,1.0,2.0,1.5,13,4.5,2.5,1.5,train
0730,0730_L.wav,0730_R.wav,0730.npy,2,0.7972853328370387,35.32527596236575,0.15284810126582277,0.09601364278672378,-0.125,1,8.0,5.0,3.0,0.8,1,1.0,2.0,1.5,11,3.5,2.5,1.5,train
0155,0155_L.wav,0155_R.wav,0155.npy,0,-8.943704139499257,12.508486432658545,0.34936708860759497,0.05987765902164337,-0.25,1,8.0,5.0,3.0,0.35,0,1.0,1.2,1.5,19,4.0,3.2,1.5,train
0355,0355_L.wav,0355_R.wav,0355.npy,1,-0.34789885017301403,34.23504841780717,0.15284810126582277,0.11371727377359586,-0.1875,1,8.0,5.0,3.0,0.8,0,1.0,1.2,1.5,12,4.0,2.5,1.5,train
